age,gender,education,years_of_experience,job_title,job_location,city,nationality,salary_inr_lakhs
32,Male,B.Sc,7,Backend Developer,Suburban,Chennai,Indian,16.8
29,Female,PhD,4,Business Analyst,Urban,Mumbai,Indian,24.7
44,Male,Diploma,19,System Admin,Urban,Hyderabad,Indian,21.8
31,Female,M.Tech,6,Data Scientist,Rural,Kolkata,Indian,19.4
28,Male,B.Com,3,QA Engineer,Urban,Jaipur,Indian,8.9
46,Female,B.Tech,21,Software Developer,Urban,Pune,Indian,42.8
38,Male,MBA,13,ML Engineer,Suburban,Delhi,Indian,47.2
35,Female,M.Sc,10,Product Manager,Urban,Bangalore,Indian,38.7
32,Male,B.Sc,7,Frontend Developer,Urban,Chennai,Indian,14.6
29,Female,PhD,4,DevOps Engineer,Urban,Mumbai,Indian,27.8
41,Male,Diploma,16,Backend Developer,Urban,Ahmedabad,Indian,22.4
28,Female,M.Tech,3,Business Analyst,Suburban,Hyderabad,Indian,12.8
49,Male,B.Com,24,System Admin,Rural,Kolkata,Indian,23.1
36,Female,B.Tech,11,Data Scientist,Urban,Pune,Indian,28.9
33,Male,MBA,8,QA Engineer,Urban,Delhi,Indian,17.2
30,Female,M.Sc,5,Software Developer,Urban,Bangalore,Indian,18.7
43,Male,B.Sc,18,ML Engineer,Suburban,Chennai,Indian,41.8
34,Female,PhD,9,Product Manager,Urban,Mumbai,German,57.6
31,Male,Diploma,6,Frontend Developer,Urban,Hyderabad,Indian,13.2
28,Female,M.Tech,3,DevOps Engineer,Rural,Jaipur,Indian,8.9
47,Male,B.Com,22,Backend Developer,Urban,Kolkata,Indian,27.4
39,Female,B.Tech,14,Business Analyst,Urban,Pune,Indian,24.8
26,Male,MBA,1,System Admin,Suburban,Ahmedabad,Indian,9.8
51,Female,M.Sc,26,Data Scientist,Urban,Delhi,Indian,72.1
38,Male,B.Sc,13,QA Engineer,Urban,Bangalore,Indian,17.6
35,Female,PhD,10,Software Developer,Urban,Chennai,Indian,34.2
32,Male,Diploma,7,ML Engineer,Rural,Mumbai,Indian,28.7
29,Female,M.Tech,4,Product Manager,Urban,Hyderabad,Indian,26.8
44,Male,B.Com,19,Frontend Developer,Urban,Kolkata,Indian,24.2
31,Female,B.Tech,6,DevOps Engineer,Suburban,Pune,Indian,16.1
28,Male,MBA,3,Backend Developer,Urban,Jaipur,Indian,14.6
45,Female,M.Sc,20,Business Analyst,Urban,Delhi,Indian,28.7
37,Male,B.Sc,12,System Admin,Rural,Bangalore,Indian,16.8
34,Female,PhD,9,Data Scientist,Urban,Chennai,Indian,34.7
31,Male,Diploma,6,QA Engineer,Urban,Mumbai,Indian,11.8
28,Female,M.Tech,3,Software Developer,Suburban,Ahmedabad,Indian,12.8
48,Male,B.Com,23,ML Engineer,Urban,Hyderabad,Indian,54.2
39,Female,B.Tech,14,Product Manager,Urban,Kolkata,Indian,42.7
26,Male,MBA,1,Frontend Developer,Rural,Pune,Indian,8.9
50,Female,M.Sc,25,DevOps Engineer,Urban,Delhi,Indian,54.7
36,Male,B.Sc,11,Backend Developer,Urban,Bangalore,Indian,24.8
33,Female,PhD,8,Business Analyst,Suburban,Chennai,Indian,27.4
30,Male,Diploma,5,System Admin,Urban,Mumbai,Indian,13.6
41,Female,M.Tech,16,Data Scientist,Urban,Jaipur,Indian,34.2
28,Male,B.Com,3,QA Engineer,Rural,Hyderabad,Indian,7.8
47,Female,B.Tech,22,Software Developer,Urban,Kolkata,Indian,39.6
38,Male,MBA,13,ML Engineer,Urban,Pune,Indian,42.7
35,Female,M.Sc,10,Product Manager,Suburban,Delhi,Indian,34.8
32,Male,B.Sc,7,Frontend Developer,Urban,Bangalore,Indian,16.2
29,Female,PhD,4,DevOps Engineer,Urban,Chennai,Indian,24.7
44,Male,Diploma,19,Backend Developer,Urban,Ahmedabad,Indian,26.8
31,Female,M.Tech,6,Business Analyst,Rural,Mumbai,Indian,17.8
28,Male,B.Com,3,System Admin,Urban,Hyderabad,Indian,11.2
49,Female,B.Tech,24,Data Scientist,Urban,Kolkata,Indian,54.7
36,Male,MBA,11,QA Engineer,Suburban,Pune,Indian,18.9
33,Female,M.Sc,8,Software Developer,Urban,Jaipur,Indian,16.2
30,Male,B.Sc,5,ML Engineer,Urban,Delhi,Indian,21.7
43,Female,PhD,18,Product Manager,Rural,Bangalore,Indian,62.4
34,Male,Diploma,9,Frontend Developer,Urban,Chennai,Indian,16.8
31,Female,M.Tech,6,DevOps Engineer,Urban,Mumbai,Indian,19.7
28,Male,B.Com,3,Backend Developer,Suburban,Ahmedabad,Indian,11.2
45,Female,B.Tech,20,Business Analyst,Urban,Hyderabad,Indian,36.8
37,Male,MBA,12,System Admin,Urban,Kolkata,Indian,24.7
34,Female,M.Sc,9,Data Scientist,Rural,Pune,Indian,21.8
31,Male,B.Sc,6,QA Engineer,Urban,Delhi,Indian,13.2
28,Female,PhD,3,Software Developer,Urban,Bangalore,Indian,21.7
48,Male,Diploma,23,ML Engineer,Suburban,Chennai,Indian,47.2
39,Female,M.Tech,14,Product Manager,Urban,Mumbai,Indian,52.8
26,Male,B.Com,1,Frontend Developer,Urban,Jaipur,Indian,7.4
52,Female,B.Tech,27,DevOps Engineer,Rural,Hyderabad,Indian,36.8
37,Male,MBA,12,Backend Developer,Urban,Kolkata,Indian,31.2
35,Female,M.Sc,10,Business Analyst,Urban,Pune,Indian,21.8
32,Male,B.Sc,7,System Admin,Suburban,Delhi,Indian,12.7
29,Female,PhD,4,Data Scientist,Urban,Bangalore,American,42.6
44,Male,Diploma,19,QA Engineer,Urban,Chennai,Indian,17.8
31,Female,M.Tech,6,Software Developer,Rural,Mumbai,Indian,18.4
28,Male,B.Com,3,ML Engineer,Urban,Ahmedabad,Indian,14.7
46,Female,B.Tech,21,Product Manager,Urban,Hyderabad,Indian,72.8
38,Male,MBA,13,Frontend Developer,Suburban,Kolkata,Indian,26.1
35,Female,M.Sc,10,DevOps Engineer,Urban,Pune,Indian,24.7
32,Male,B.Sc,7,Backend Developer,Urban,Jaipur,Indian,13.8
29,Female,PhD,4,Business Analyst,Rural,Delhi,Indian,17.2
41,Male,Diploma,16,System Admin,Urban,Bangalore,Indian,21.7
28,Female,M.Tech,3,Data Scientist,Urban,Chennai,Indian,16.8
49,Male,B.Com,24,QA Engineer,Suburban,Mumbai,Indian,21.4
36,Female,B.Tech,11,Software Developer,Urban,Hyderabad,Indian,28.7
33,Male,MBA,8,ML Engineer,Urban,Kolkata,Indian,32.4
30,Female,M.Sc,5,Product Manager,Rural,Pune,Indian,21.8
43,Male,B.Sc,18,Frontend Developer,Urban,Delhi,Indian,26.4
34,Female,PhD,9,DevOps Engineer,Urban,Bangalore,Indian,36.8
31,Male,Diploma,6,Backend Developer,Suburban,Chennai,Indian,14.2
28,Female,M.Tech,3,Business Analyst,Urban,Ahmedabad,Indian,12.8
47,Male,B.Com,22,System Admin,Urban,Mumbai,Indian,31.2
39,Female,B.Tech,14,Data Scientist,Rural,Jaipur,Indian,24.1
26,Male,MBA,1,QA Engineer,Urban,Hyderabad,Indian,9.7
50,Female,M.Sc,25,Software Developer,Urban,Kolkata,Indian,47.2
36,Male,B.Sc,11,ML Engineer,Suburban,Pune,Indian,28.4
33,Female,PhD,8,Product Manager,Urban,Delhi,Indian,42.7
30,Male,Diploma,5,Frontend Developer,Urban,Bangalore,Indian,14.2
41,Female,M.Tech,16,DevOps Engineer,Rural,Chennai,Indian,26.8
28,Male,B.Com,3,Backend Developer,Urban,Mumbai,Indian,14.7
45,Female,B.Tech,20,Business Analyst,Urban,Ahmedabad,Indian,32.4
37,Male,MBA,12,System Admin,Suburban,Hyderabad,Indian,22.1
34,Female,M.Sc,9,Data Scientist,Urban,Kolkata,Indian,26.8
31,Male,B.Sc,6,QA Engineer,Urban,Pune,Indian,11.4
28,Female,PhD,3,Software Developer,Rural,Jaipur,Indian,14.6
48,Male,Diploma,23,ML Engineer,Urban,Delhi,Indian,42.7
39,Female,M.Tech,14,Product Manager,Urban,Bangalore,Indian,58.4
26,Male,B.Com,1,Frontend Developer,Suburban,Chennai,Indian,7.8
52,Female,B.Tech,27,DevOps Engineer,Urban,Mumbai,Indian,56.2
37,Male,MBA,12,Backend Developer,Urban,Hyderabad,Indian,36.8
35,Female,M.Sc,10,Business Analyst,Rural,Kolkata,Indian,17.2
32,Male,B.Sc,7,System Admin,Urban,Pune,Indian,12.8
29,Female,PhD,4,Data Scientist,Urban,Delhi,Indian,28.7
44,Male,Diploma,19,QA Engineer,Suburban,Bangalore,Indian,19.4
31,Female,M.Tech,6,Software Developer,Urban,Chennai,Indian,17.8
28,Male,B.Com,3,ML Engineer,Urban,Ahmedabad,Indian,13.2
46,Female,B.Tech,21,Product Manager,Rural,Mumbai,Indian,64.2
38,Male,MBA,13,Frontend Developer,Urban,Jaipur,Indian,22.4
35,Female,M.Sc,10,DevOps Engineer,Urban,Hyderabad,Indian,27.8
32,Male,B.Sc,7,Backend Developer,Suburban,Kolkata,Indian,14.7
29,Female,PhD,4,Business Analyst,Urban,Pune,Indian,21.8
41,Male,Diploma,16,System Admin,Urban,Delhi,Indian,18.9
28,Female,M.Tech,3,Data Scientist,Rural,Bangalore,Indian,15.2
49,Male,B.Com,24,QA Engineer,Urban,Chennai,Indian,21.7
36,Female,B.Tech,11,Software Developer,Urban,Mumbai,Indian,32.4
33,Male,MBA,8,ML Engineer,Suburban,Hyderabad,Indian,29.7
30,Female,M.Sc,5,Product Manager,Urban,Kolkata,Indian,24.1
43,Male,B.Sc,18,Frontend Developer,Urban,Pune,Indian,21.8
34,Female,PhD,9,DevOps Engineer,Rural,Jaipur,Indian,21.4
31,Male,Diploma,6,Backend Developer,Urban,Delhi,Indian,14.7
28,Female,M.Tech,3,Business Analyst,Urban,Bangalore,Indian,14.2
47,Male,B.Com,22,System Admin,Suburban,Chennai,Indian,21.8
39,Female,B.Tech,14,Data Scientist,Urban,Mumbai,Indian,42.7
26,Male,MBA,1,QA Engineer,Urban,Ahmedabad,Indian,8.9
51,Female,M.Sc,26,Software Developer,Rural,Hyderabad,Indian,36.8
38,Male,B.Sc,13,ML Engineer,Urban,Kolkata,Indian,31.2
35,Female,PhD,10,Product Manager,Urban,Pune,Indian,42.7
32,Male,Diploma,7,Frontend Developer,Suburban,Delhi,Indian,13.8
29,Female,M.Tech,4,DevOps Engineer,Urban,Bangalore,Indian,17.2
44,Male,B.Com,19,Backend Developer,Urban,Chennai,Indian,24.7
31,Female,B.Tech,6,Business Analyst,Rural,Mumbai,Indian,16.8
28,Male,MBA,3,System Admin,Urban,Jaipur,Indian,12.4
45,Female,M.Sc,20,Data Scientist,Urban,Hyderabad,Indian,51.2
37,Male,B.Sc,12,QA Engineer,Suburban,Kolkata,Indian,14.7
34,Female,PhD,9,Software Developer,Urban,Pune,Indian,32.1
31,Male,Diploma,6,ML Engineer,Urban,Delhi,Indian,21.8
28,Female,M.Tech,3,Product Manager,Rural,Bangalore,Indian,17.8
48,Male,B.Com,23,Frontend Developer,Urban,Chennai,Indian,26.8
39,Female,B.Tech,14,DevOps Engineer,Urban,Mumbai,Indian,36.2
26,Male,MBA,1,Backend Developer,Suburban,Ahmedabad,Indian,11.2
50,Female,M.Sc,25,Business Analyst,Urban,Hyderabad,Indian,42.7
36,Male,B.Sc,11,System Admin,Urban,Kolkata,Indian,16.8
33,Female,PhD,8,Data Scientist,Rural,Pune,Indian,24.7
30,Male,Diploma,5,QA Engineer,Urban,Jaipur,Indian,8.9
41,Female,M.Tech,16,Software Developer,Urban,Delhi,Indian,31.2
28,Male,B.Com,3,ML Engineer,Suburban,Bangalore,Indian,16.8
47,Female,B.Tech,22,Product Manager,Urban,Chennai,Indian,68.7
38,Male,MBA,13,Frontend Developer,Urban,Mumbai,Indian,38.4
35,Female,M.Sc,10,DevOps Engineer,Rural,Hyderabad,Indian,19.8
32,Male,B.Sc,7,Backend Developer,Urban,Kolkata,Indian,14.2
29,Female,PhD,4,Business Analyst,Urban,Pune,Indian,21.8
44,Male,Diploma,19,System Admin,Suburban,Delhi,Indian,18.7
31,Female,M.Tech,6,Data Scientist,Urban,Bangalore,Indian,24.7
28,Male,B.Com,3,QA Engineer,Urban,Chennai,Indian,8.4
49,Female,B.Tech,24,Software Developer,Rural,Ahmedabad,Indian,34.2
36,Male,MBA,11,ML Engineer,Urban,Mumbai,Indian,42.8
33,Female,M.Sc,8,Product Manager,Urban,Jaipur,Indian,21.8
30,Male,B.Sc,5,Frontend Developer,Suburban,Hyderabad,Indian,11.2
43,Female,PhD,18,DevOps Engineer,Urban,Kolkata,Indian,42.1
34,Male,Diploma,9,Backend Developer,Urban,Pune,Indian,16.8
31,Female,M.Tech,6,Business Analyst,Rural,Delhi,Indian,13.2
28,Male,B.Com,3,System Admin,Urban,Bangalore,Indian,11.7
45,Female,B.Tech,20,Data Scientist,Urban,Chennai,Indian,47.2
37,Male,MBA,12,QA Engineer,Suburban,Mumbai,Indian,24.8
34,Female,M.Sc,9,Software Developer,Urban,Hyderabad,Indian,24.7
31,Male,B.Sc,6,ML Engineer,Urban,Kolkata,Indian,21.8
28,Female,PhD,3,Product Manager,Rural,Pune,Indian,18.9
48,Male,Diploma,23,Frontend Developer,Urban,Jaipur,Indian,21.4
39,Female,M.Tech,14,DevOps Engineer,Urban,Delhi,Indian,31.2
26,Male,B.Com,1,Backend Developer,Suburban,Bangalore,Indian,9.7
52,Female,B.Tech,27,Business Analyst,Urban,Chennai,Indian,42.8
37,Male,MBA,12,System Admin,Urban,Mumbai,Indian,31.2
35,Female,M.Sc,10,Data Scientist,Rural,Ahmedabad,Indian,21.8
32,Male,B.Sc,7,QA Engineer,Urban,Hyderabad,Indian,12.8
29,Female,PhD,4,Software Developer,Urban,Kolkata,Indian,24.7
44,Male,Diploma,19,ML Engineer,Suburban,Pune,Indian,32.4
31,Female,M.Tech,6,Product Manager,Urban,Delhi,Indian,28.7
28,Male,B.Com,3,Frontend Developer,Urban,Bangalore,Indian,11.2
46,Female,B.Tech,21,DevOps Engineer,Rural,Chennai,Indian,31.8
38,Male,MBA,13,Backend Developer,Urban,Mumbai,Indian,42.7
35,Female,M.Sc,10,Business Analyst,Urban,Jaipur,Indian,16.8
32,Male,B.Sc,7,System Admin,Suburban,Hyderabad,Indian,11.7
29,Female,PhD,4,Data Scientist,Urban,Kolkata,Indian,26.8
41,Male,Diploma,16,QA Engineer,Urban,Pune,Indian,14.7
28,Female,M.Tech,3,Software Developer,Rural,Delhi,Indian,12.1
49,Male,B.Com,24,ML Engineer,Urban,Bangalore,Indian,47.2
36,Female,B.Tech,11,Product Manager,Urban,Chennai,Indian,42.8
33,Male,MBA,8,Frontend Developer,Suburban,Mumbai,Indian,28.4
30,Female,M.Sc,5,DevOps Engineer,Urban,Ahmedabad,Indian,18.7
43,Male,B.Sc,18,Backend Developer,Urban,Hyderabad,Indian,27.8
34,Female,PhD,9,Business Analyst,Rural,Kolkata,Indian,21.8
31,Male,Diploma,6,System Admin,Urban,Pune,Indian,12.8
28,Female,M.Tech,3,Data Scientist,Urban,Jaipur,Indian,16.2
47,Male,B.Com,22,QA Engineer,Suburban,Delhi,Indian,18.7
39,Female,B.Tech,14,Software Developer,Urban,Bangalore,Indian,36.8
26,Male,MBA,1,ML Engineer,Urban,Chennai,Indian,14.2
50,Female,M.Sc,25,Product Manager,Rural,Mumbai,Indian,57.8
36,Male,B.Sc,11,Frontend Developer,Urban,Hyderabad,Indian,19.8
33,Female,PhD,8,DevOps Engineer,Urban,Kolkata,Indian,31.2
30,Male,Diploma,5,Backend Developer,Suburban,Pune,Indian,12.8
41,Female,M.Tech,16,Business Analyst,Urban,Delhi,Indian,31.2
28,Male,B.Com,3,System Admin,Urban,Bangalore,Indian,12.4
45,Female,B.Tech,20,Data Scientist,Rural,Chennai,Indian,34.2
37,Male,MBA,12,QA Engineer,Urban,Mumbai,Indian,31.2
34,Female,M.Sc,9,Software Developer,Urban,Jaipur,Indian,18.7
31,Male,B.Sc,6,ML Engineer,Suburban,Hyderabad,Indian,18.4
28,Female,PhD,3,Product Manager,Urban,Kolkata,Indian,24.7
48,Male,Diploma,23,Frontend Developer,Urban,Pune,Indian,24.8
39,Female,M.Tech,14,DevOps Engineer,Rural,Delhi,Indian,24.1
26,Male,B.Com,1,Backend Developer,Urban,Bangalore,Indian,10.2
52,Female,B.Tech,27,Business Analyst,Urban,Chennai,Indian,47.2
37,Male,MBA,12,System Admin,Suburban,Mumbai,Indian,24.7
35,Female,M.Sc,10,Data Scientist,Urban,Ahmedabad,Indian,24.8
32,Male,B.Sc,7,QA Engineer,Urban,Hyderabad,Indian,13.2
29,Female,PhD,4,Software Developer,Rural,Kolkata,Indian,19.4
44,Male,Diploma,19,ML Engineer,Urban,Pune,Indian,36.8
31,Female,M.Tech,6,Product Manager,Urban,Jaipur,Indian,21.8
28,Male,B.Com,3,Frontend Developer,Suburban,Delhi,Indian,10.2
46,Female,B.Tech,21,DevOps Engineer,Urban,Bangalore,Indian,48.6
38,Male,MBA,13,Backend Developer,Urban,Chennai,Indian,42.7
35,Female,M.Sc,10,Business Analyst,Rural,Mumbai,Indian,21.8
32,Male,B.Sc,7,System Admin,Urban,Hyderabad,Indian,14.7
29,Female,PhD,4,Data Scientist,Urban,Kolkata,Indian,28.7
41,Male,Diploma,16,QA Engineer,Suburban,Pune,Indian,13.8
28,Female,M.Tech,3,Software Developer,Urban,Delhi,Indian,14.2
49,Male,B.Com,24,ML Engineer,Urban,Bangalore,Indian,52.8
36,Female,B.Tech,11,Product Manager,Rural,Chennai,Indian,31.2
33,Male,MBA,8,Frontend Developer,Urban,Mumbai,Indian,31.2
30,Female,M.Sc,5,DevOps Engineer,Urban,Jaipur,Indian,14.2
43,Male,B.Sc,18,Backend Developer,Suburban,Hyderabad,Indian,24.7
34,Female,PhD,9,Business Analyst,Urban,Kolkata,Indian,31.2
31,Male,Diploma,6,System Admin,Urban,Pune,Indian,13.2
28,Female,M.Tech,3,Data Scientist,Rural,Delhi,Indian,13.8
47,Male,B.Com,22,QA Engineer,Urban,Bangalore,Indian,24.7
39,Female,B.Tech,14,Software Developer,Urban,Chennai,Indian,31.2
26,Male,MBA,1,ML Engineer,Suburban,Mumbai,Indian,18.7
51,Female,M.Sc,26,Product Manager,Urban,Ahmedabad,Indian,62.4
38,Male,B.Sc,13,Frontend Developer,Urban,Hyderabad,Indian,24.7
35,Female,PhD,10,DevOps Engineer,Rural,Kolkata,Indian,24.1
32,Male,Diploma,7,Backend Developer,Urban,Pune,Indian,16.8
29,Female,M.Tech,4,Business Analyst,Urban,Jaipur,Indian,12.8
44,Male,B.Com,19,System Admin,Suburban,Delhi,Indian,18.7
31,Female,B.Tech,6,Data Scientist,Urban,Bangalore,Indian,24.7